year,reason,amount,state
2004-05,family,12370,New South Wales
2005-06,family,13250,New South Wales
2006-07,family,13530,New South Wales
2007-08,family,13810,New South Wales
2008-09,family,14230,New South Wales
2009-10,family,13950,New South Wales
2010-11,family,13090,New South Wales
2011-12,family,13120,New South Wales
2012-13,family,13280,New South Wales
2013-14,family,13160,New South Wales
2014-15,family,11770,New South Wales
2015-16,family,11580,New South Wales
2016-17,family,11070,New South Wales
2017-18,family,9720,New South Wales
2018-19,family,8830,New South Wales
2019-20,family,7330,New South Wales
2020-21,family,7580,New South Wales
2021-22,family,9630,New South Wales
2022-23(f),family,7420,New South Wales
2004-05,family,7850,Victoria
2005-06,family,8190,Victoria
2006-07,family,8990,Victoria
2007-08,family,9180,Victoria
2008-09,family,9770,Victoria
2009-10,family,10050,Victoria
2010-11,family,9790,Victoria
2011-12,family,10040,Victoria
2012-13,family,9930,Victoria
2013-14,family,10470,Victoria
2014-15,family,9600,Victoria
2015-16,family,9680,Victoria
2016-17,family,9290,Victoria
2017-18,family,8420,Victoria
2018-19,family,7960,Victoria
2019-20,family,6620,Victoria
2020-21,family,3920,Victoria
2021-22,family,8040,Victoria
2022-23(f),family,6910,Victoria
2016-17,family,9290,Victoria
2017-18,family,8420,Victoria
2018-19,family,7960,Victoria
2019-20,family,6620,Victoria
2020-21,family,3920,Victoria
2021-22,family,8040,Victoria
2022-23(f),family,6910,Victoria
2004-05,family,3560,Queensland
2005-06,family,3900,Queensland
2006-07,family,4340,Queensland
2007-08,family,4310,Queensland
2008-09,family,4740,Queensland
2009-10,family,4840,Queensland
2010-11,family,4250,Queensland
2011-12,family,4720,Queensland
2012-13,family,4610,Queensland
2013-14,family,4670,Queensland
2014-15,family,4180,Queensland
2015-16,family,4070,Queensland
2016-17,family,3730,Queensland
2017-18,family,3200,Queensland
2018-19,family,3040,Queensland
2019-20,family,2470,Queensland
2020-21,family,1740,Queensland
2021-22,family,3480,Queensland
2022-23(f),family,2760,Queensland
2016-17,family,3730,Queensland
2017-18,family,3200,Queensland
2018-19,family,3040,Queensland
2019-20,family,2470,Queensland
2020-21,family,1740,Queensland
2021-22,family,3480,Queensland
2022-23(f),family,2760,Queensland
2004-05,family,1230,South Australia
2005-06,family,1360,South Australia
2006-07,family,1590,South Australia
2007-08,family,1560,South Australia
2008-09,family,1660,South Australia
2009-10,family,1840,South Australia
2010-11,family,1690,South Australia
2011-12,family,1840,South Australia
2012-13,family,1980,South Australia
2013-14,family,2090,South Australia
2014-15,family,1960,South Australia
2015-16,family,1800,South Australia
2016-17,family,1650,South Australia
2017-18,family,1550,South Australia
2018-19,family,1390,South Australia
2019-20,family,1230,South Australia
2020-21,family,770,South Australia
2021-22,family,1380,South Australia
2022-23(f),family,1240,South Australia
2004-05,family,2710,Western Australia
2005-06,family,2890,Western Australia
