Product code,Bureau of Meteorology station number,Year,Month,Mean_Max_Temp,Mean_Min_Temp,Quality
IDCJAC0002,087031,1944,01,26.1,12.2,Y
IDCJAC0002,087031,1944,02,24.5,12.0,Y
IDCJAC0002,087031,1944,03,24.4,12.1,Y
IDCJAC0002,087031,1944,04,18.0,7.0,Y
IDCJAC0002,087031,1944,05,15.4,8.0,Y
IDCJAC0002,087031,1944,06,13.2,5.2,Y
IDCJAC0002,087031,1944,07,12.8,3.0,Y
IDCJAC0002,087031,1944,08,13.7,2.5,Y
IDCJAC0002,087031,1944,09,18.2,6.5,Y
IDCJAC0002,087031,1944,10,20.1,7.9,Y
IDCJAC0002,087031,1944,11,21.5,10.0,Y
IDCJAC0002,087031,1944,12,24.3,11.7,Y
IDCJAC0002,087031,1945,01,24.2,12.7,Y
IDCJAC0002,087031,1945,02,22.6,12.8,Y
IDCJAC0002,087031,1945,03,20.9,10.8,Y
IDCJAC0002,087031,1945,04,18.5,9.2,Y
IDCJAC0002,087031,1945,05,16.2,7.3,Y
IDCJAC0002,087031,1945,06,14.7,5.6,Y
IDCJAC0002,087031,1945,07,12.3,4.5,Y
IDCJAC0002,087031,1945,08,14.9,6.9,Y
IDCJAC0002,087031,1945,09,16.3,5.6,Y
IDCJAC0002,087031,1945,10,18.8,8.4,Y
IDCJAC0002,087031,1945,11,23.2,10.7,Y
IDCJAC0002,087031,1945,12,24.3,12.4,Y
IDCJAC0002,087031,1946,01,25.7,13.4,Y
IDCJAC0002,087031,1946,02,23.6,13.1,Y
IDCJAC0002,087031,1946,03,21.2,11.8,Y
IDCJAC0002,087031,1946,04,17.5,9.1,Y
IDCJAC0002,087031,1946,05,16.4,6.8,Y
IDCJAC0002,087031,1946,06,12.5,5.2,Y
IDCJAC0002,087031,1946,07,14.0,6.2,Y
IDCJAC0002,087031,1946,08,14.3,5.5,Y
IDCJAC0002,087031,1946,09,15.0,6.4,Y
IDCJAC0002,087031,1946,10,16.6,6.6,Y
IDCJAC0002,087031,1946,11,21.1,9.6,Y
IDCJAC0002,087031,1946,12,23.7,11.4,Y
IDCJAC0002,087031,1947,01,26.1,12.4,Y
IDCJAC0002,087031,1947,02,27.4,15.8,Y
IDCJAC0002,087031,1947,03,23.9,12.9,Y
IDCJAC0002,087031,1947,04,19.9,10.5,Y
IDCJAC0002,087031,1947,05,19.4,7.7,Y
IDCJAC0002,087031,1947,06,14.7,5.6,Y
IDCJAC0002,087031,1947,07,13.3,5.9,Y
IDCJAC0002,087031,1947,08,13.7,4.7,Y
IDCJAC0002,087031,1947,09,17.0,6.0,Y
IDCJAC0002,087031,1947,10,18.5,8.1,Y
IDCJAC0002,087031,1947,11,19.3,9.2,Y
IDCJAC0002,087031,1947,12,23.3,12.2,Y
IDCJAC0002,087031,1948,01,23.7,12.9,Y
IDCJAC0002,087031,1948,02,26.1,14.3,Y
IDCJAC0002,087031,1948,03,20.9,9.8,Y
IDCJAC0002,087031,1948,04,18.6,9.8,Y
IDCJAC0002,087031,1948,05,15.2,7.4,Y
IDCJAC0002,087031,1948,06,13.4,3.4,Y
IDCJAC0002,087031,1948,07,12.6,3.6,Y
IDCJAC0002,087031,1948,08,16.0,5.0,Y
IDCJAC0002,087031,1948,09,18.1,6.2,Y
IDCJAC0002,087031,1948,10,17.8,6.9,Y
IDCJAC0002,087031,1948,11,20.6,8.3,Y
IDCJAC0002,087031,1948,12,24.4,11.1,Y
IDCJAC0002,087031,1949,01,24.0,13.4,Y
IDCJAC0002,087031,1949,02,22.1,12.1,Y
IDCJAC0002,087031,1949,03,21.0,12.7,Y
IDCJAC0002,087031,1949,04,17.6,8.4,Y
IDCJAC0002,087031,1949,05,14.9,6.8,Y
IDCJAC0002,087031,1949,06,11.9,4.3,Y
IDCJAC0002,087031,1949,07,13.4,5.0,Y
IDCJAC0002,087031,1949,08,15.1,4.4,Y
IDCJAC0002,087031,1949,09,16.4,4.8,Y
IDCJAC0002,087031,1949,10,18.5,8.0,Y
IDCJAC0002,087031,1949,11,19.6,10.3,Y
IDCJAC0002,087031,1949,12,21.2,9.9,Y
IDCJAC0002,087031,1950,01,23.7,11.0,Y
IDCJAC0002,087031,1950,02,23.0,14.2,Y
IDCJAC0002,087031,1950,03,21.9,12.3,Y
IDCJAC0002,087031,1950,04,19.3,9.6,Y
IDCJAC0002,087031,1950,05,15.8,6.9,Y
IDCJAC0002,087031,1950,06,12.2,4.2,Y
IDCJAC0002,087031,1950,07,13.9,4.3,Y
IDCJAC0002,087031,1950,08,15.0,4.6,Y
IDCJAC0002,087031,1950,09,18.1,6.4,Y
IDCJAC0002,087031,1950,10,18.9,8.7,Y
IDCJAC0002,087031,1950,11,21.6,9.8,Y
IDCJAC0002,087031,1950,12,25.7,12.8,Y
IDCJAC0002,087031,1951,01,27.3,14.5,Y
IDCJAC0002,087031,1951,02,25.4,14.9,Y
IDCJAC0002,087031,1951,03,25.0,13.3,Y
IDCJAC0002,087031,1951,04,17.9,8.7,Y
IDCJAC0002,087031,1951,05,17.7,7.7,Y
IDCJAC0002,087031,1951,06,13.9,6.6,Y
IDCJAC0002,087031,1951,07,13.5,5.4,Y
IDCJAC0002,087031,1951,08,12.7,4.6,Y
IDCJAC0002,087031,1951,09,16.7,7.2,Y
IDCJAC0002,087031,1951,10,18.7,7.6,Y
IDCJAC0002,087031,1951,11,21.1,8.6,Y
IDCJAC0002,087031,1951,12,23.1,11.1,Y
IDCJAC0002,087031,1952,01,24.8,12.3,Y
IDCJAC0002,087031,1952,02,22.8,12.7,Y
IDCJAC0002,087031,1952,03,23.6,13.2,Y
IDCJAC0002,087031,1952,04,18.3,10.8,Y
IDCJAC0002,087031,1952,05,15.3,7.4,Y
IDCJAC0002,087031,1952,06,13.4,7.6,Y
IDCJAC0002,087031,1952,07,12.2,4.5,Y
IDCJAC0002,087031,1952,08,13.7,5.8,Y
IDCJAC0002,087031,1952,09,16.8,7.5,Y
IDCJAC0002,087031,1952,10,18.5,9.0,Y
IDCJAC0002,087031,1952,11,19.7,9.8,Y
IDCJAC0002,087031,1952,12,22.2,11.9,Y
IDCJAC0002,087031,1953,01,23.9,13.5,Y
IDCJAC0002,087031,1953,02,24.4,13.9,Y
IDCJAC0002,087031,1953,03,24.6,12.3,Y
IDCJAC0002,087031,1953,04,20.7,11.0,Y
IDCJAC0002,087031,1953,05,17.0,9.0,Y
IDCJAC0002,087031,1953,06,13.3,6.5,Y
IDCJAC0002,087031,1953,07,13.6,5.1,Y
IDCJAC0002,087031,1953,08,14.1,6.0,Y
IDCJAC0002,087031,1953,09,16.3,6.1,Y
IDCJAC0002,087031,1953,10,18.6,7.7,Y
IDCJAC0002,087031,1953,11,20.2,9.2,Y
IDCJAC0002,087031,1953,12,23.8,10.9,Y
IDCJAC0002,087031,1954,01,26.5,15.3,Y
IDCJAC0002,087031,1954,02,21.9,13.6,Y
IDCJAC0002,087031,1954,03,23.2,10.6,Y
IDCJAC0002,087031,1954,04,20.3,10.4,Y
IDCJAC0002,087031,1954,05,16.3,7.4,Y
IDCJAC0002,087031,1954,06,13.9,6.7,Y
IDCJAC0002,087031,1954,07,12.7,4.6,Y
IDCJAC0002,087031,1954,08,14.9,5.5,Y
IDCJAC0002,087031,1954,09,16.4,6.0,Y
IDCJAC0002,087031,1954,10,18.7,8.2,Y
IDCJAC0002,087031,1954,11,19.9,9.7,Y
IDCJAC0002,087031,1954,12,24.0,12.4,Y
IDCJAC0002,087031,1955,01,26.1,14.1,Y
IDCJAC0002,087031,1955,02,24.6,15.6,Y
IDCJAC0002,087031,1955,03,22.3,12.5,Y
IDCJAC0002,087031,1955,04,20.0,9.2,Y
IDCJAC0002,087031,1955,05,15.1,6.7,Y
