Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,087031,1943,10,7.4,Y
IDCJAC0004,087031,1943,11,11.7,Y
IDCJAC0004,087031,1943,12,10.9,Y
IDCJAC0004,087031,1944,01,12.2,Y
IDCJAC0004,087031,1944,02,12.0,Y
IDCJAC0004,087031,1944,03,12.1,Y
IDCJAC0004,087031,1944,04,7.0,Y
IDCJAC0004,087031,1944,05,8.0,Y
IDCJAC0004,087031,1944,06,5.2,Y
IDCJAC0004,087031,1944,07,3.0,Y
IDCJAC0004,087031,1944,08,2.5,Y
IDCJAC0004,087031,1944,09,6.5,Y
IDCJAC0004,087031,1944,10,7.9,Y
IDCJAC0004,087031,1944,11,10.0,Y
IDCJAC0004,087031,1944,12,11.7,Y
IDCJAC0004,087031,1945,01,12.7,Y
IDCJAC0004,087031,1945,02,12.8,Y
IDCJAC0004,087031,1945,03,10.8,Y
IDCJAC0004,087031,1945,04,9.2,Y
IDCJAC0004,087031,1945,05,7.3,Y
IDCJAC0004,087031,1945,06,5.6,Y
IDCJAC0004,087031,1945,07,4.5,Y
IDCJAC0004,087031,1945,08,6.9,Y
IDCJAC0004,087031,1945,09,5.6,Y
IDCJAC0004,087031,1945,10,8.4,Y
IDCJAC0004,087031,1945,11,10.7,Y
IDCJAC0004,087031,1945,12,12.4,Y
IDCJAC0004,087031,1946,01,13.4,Y
IDCJAC0004,087031,1946,02,13.1,Y
IDCJAC0004,087031,1946,03,11.8,Y
IDCJAC0004,087031,1946,04,9.1,Y
IDCJAC0004,087031,1946,05,6.8,Y
IDCJAC0004,087031,1946,06,5.2,Y
IDCJAC0004,087031,1946,07,6.2,Y
IDCJAC0004,087031,1946,08,5.5,Y
IDCJAC0004,087031,1946,09,6.4,Y
IDCJAC0004,087031,1946,10,6.6,Y
IDCJAC0004,087031,1946,11,9.6,Y
IDCJAC0004,087031,1946,12,11.4,Y
IDCJAC0004,087031,1947,01,12.4,Y
IDCJAC0004,087031,1947,02,15.8,Y
IDCJAC0004,087031,1947,03,12.9,Y
IDCJAC0004,087031,1947,04,10.5,Y
IDCJAC0004,087031,1947,05,7.7,Y
IDCJAC0004,087031,1947,06,5.6,Y
IDCJAC0004,087031,1947,07,5.9,Y
IDCJAC0004,087031,1947,08,4.7,Y
IDCJAC0004,087031,1947,09,6.0,Y
IDCJAC0004,087031,1947,10,8.1,Y
IDCJAC0004,087031,1947,11,9.2,Y
IDCJAC0004,087031,1947,12,12.2,Y
IDCJAC0004,087031,1948,01,12.9,Y
IDCJAC0004,087031,1948,02,14.3,Y
IDCJAC0004,087031,1948,03,9.8,Y
IDCJAC0004,087031,1948,04,9.8,Y
IDCJAC0004,087031,1948,05,7.4,Y
IDCJAC0004,087031,1948,06,3.4,Y
IDCJAC0004,087031,1948,07,3.6,Y
IDCJAC0004,087031,1948,08,5.0,Y
IDCJAC0004,087031,1948,09,6.2,Y
IDCJAC0004,087031,1948,10,6.9,Y
IDCJAC0004,087031,1948,11,8.3,Y
IDCJAC0004,087031,1948,12,11.1,Y
IDCJAC0004,087031,1949,01,13.4,Y
IDCJAC0004,087031,1949,02,12.1,Y
