Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086088,1912,05,37.9,Y
IDCJAC0001,086088,1912,06,26.8,Y
IDCJAC0001,086088,1912,07,56.3,Y
IDCJAC0001,086088,1913,01,12.4,Y
IDCJAC0001,086088,1913,05,98.0,Y
IDCJAC0001,086088,1913,08,61.0,Y
IDCJAC0001,086088,1913,09,38.6,Y
IDCJAC0001,086088,1913,10,41.1,Y
IDCJAC0001,086088,1913,11,79.3,Y
IDCJAC0001,086088,1913,12,59.4,Y
IDCJAC0001,086088,1914,01,40.6,Y
IDCJAC0001,086088,1914,02,3.1,Y
IDCJAC0001,086088,1914,03,56.1,Y
IDCJAC0001,086088,1914,04,60.7,Y
IDCJAC0001,086088,1914,05,91.8,Y
IDCJAC0001,086088,1914,06,46.1,Y
IDCJAC0001,086088,1914,07,66.8,Y
IDCJAC0001,086088,1914,08,18.3,Y
IDCJAC0001,086088,1914,09,35.8,Y
IDCJAC0001,086088,1914,10,4.5,Y
IDCJAC0001,086088,1914,11,74.0,Y
IDCJAC0001,086088,1914,12,76.7,Y
IDCJAC0001,086088,1915,01,57.5,Y
IDCJAC0001,086088,1915,02,16.6,Y
IDCJAC0001,086088,1915,03,6.4,Y
IDCJAC0001,086088,1915,04,60.7,Y
IDCJAC0001,086088,1915,05,108.2,Y
IDCJAC0001,086088,1915,06,70.3,Y
IDCJAC0001,086088,1915,07,53.7,Y
IDCJAC0001,086088,1915,08,81.7,Y
IDCJAC0001,086088,1915,09,58.5,Y
IDCJAC0001,086088,1915,10,93.5,Y
IDCJAC0001,086088,1915,11,15.1,Y
IDCJAC0001,086088,1915,12,24.3,Y
IDCJAC0001,086088,1916,01,110.8,Y
IDCJAC0001,086088,1916,02,39.2,Y
IDCJAC0001,086088,1916,03,21.8,Y
IDCJAC0001,086088,1916,04,74.2,Y
IDCJAC0001,086088,1916,05,51.6,Y
IDCJAC0001,086088,1916,06,71.7,Y
IDCJAC0001,086088,1916,07,51.8,Y
IDCJAC0001,086088,1916,08,72.9,Y
IDCJAC0001,086088,1916,09,174.4,Y
IDCJAC0001,086088,1916,10,83.2,Y
IDCJAC0001,086088,1916,11,129.8,Y
IDCJAC0001,086088,1916,12,116.7,Y
IDCJAC0001,086088,1917,01,28.6,Y
IDCJAC0001,086088,1917,02,54.1,Y
IDCJAC0001,086088,1917,03,48.7,Y
IDCJAC0001,086088,1917,04,60.8,Y
IDCJAC0001,086088,1917,05,85.2,Y
IDCJAC0001,086088,1917,06,103.1,Y
IDCJAC0001,086088,1917,07,63.5,Y
IDCJAC0001,086088,1917,08,79.4,Y
IDCJAC0001,086088,1917,09,81.3,Y
IDCJAC0001,086088,1917,10,138.6,Y
IDCJAC0001,086088,1917,11,78.4,Y
IDCJAC0001,086088,1917,12,66.9,Y
IDCJAC0001,086088,1918,01,61.7,Y
IDCJAC0001,086088,1918,02,60.7,Y
IDCJAC0001,086088,1918,03,96.4,Y
IDCJAC0001,086088,1918,04,23.4,Y
IDCJAC0001,086088,1918,05,94.8,Y
IDCJAC0001,086088,1918,06,52.6,Y
IDCJAC0001,086088,1918,07,73.0,Y
IDCJAC0001,086088,1918,08,88.1,Y
IDCJAC0001,086088,1918,09,110.3,Y
IDCJAC0001,086088,1918,10,60.5,Y
IDCJAC0001,086088,1918,11,10.3,Y
IDCJAC0001,086088,1918,12,68.8,Y
IDCJAC0001,086088,1919,01,21.7,Y
IDCJAC0001,086088,1919,02,84.1,Y
IDCJAC0001,086088,1919,03,139.4,Y
IDCJAC0001,086088,1919,04,23.4,Y
IDCJAC0001,086088,1919,05,38.6,Y
IDCJAC0001,086088,1919,06,38.7,Y
IDCJAC0001,086088,1919,07,66.0,Y
IDCJAC0001,086088,1919,08,17.7,Y
IDCJAC0001,086088,1919,09,31.8,Y
IDCJAC0001,086088,1919,10,40.6,Y
IDCJAC0001,086088,1919,11,17.7,Y
IDCJAC0001,086088,1919,12,109.0,Y
IDCJAC0001,086088,1920,01,17.8,Y
IDCJAC0001,086088,1920,02,17.0,Y
IDCJAC0001,086088,1920,03,46.2,Y
IDCJAC0001,086088,1920,04,51.8,Y
IDCJAC0001,086088,1920,05,65.9,Y
IDCJAC0001,086088,1920,06,56.8,Y
IDCJAC0001,086088,1920,07,39.2,Y
IDCJAC0001,086088,1920,08,126.5,Y
IDCJAC0001,086088,1920,09,127.4,Y
IDCJAC0001,086088,1920,10,115.6,Y
IDCJAC0001,086088,1920,11,73.0,Y
IDCJAC0001,086088,1920,12,23.6,Y
IDCJAC0001,086088,1921,01,127.5,Y
IDCJAC0001,086088,1921,02,25.2,Y
IDCJAC0001,086088,1921,03,31.8,Y
IDCJAC0001,086088,1921,04,21.3,Y
IDCJAC0001,086088,1921,05,65.4,Y
IDCJAC0001,086088,1921,06,43.5,Y
IDCJAC0001,086088,1921,07,70.8,Y
IDCJAC0001,086088,1921,08,100.5,Y
IDCJAC0001,086088,1921,09,102.2,Y
IDCJAC0001,086088,1921,10,87.7,Y
IDCJAC0001,086088,1921,11,62.7,Y
IDCJAC0001,086088,1921,12,19.4,Y
IDCJAC0001,086088,1922,01,68.8,Y
IDCJAC0001,086088,1922,02,72.9,Y
IDCJAC0001,086088,1922,03,8.1,Y
IDCJAC0001,086088,1922,04,42.5,Y
IDCJAC0001,086088,1922,05,59.5,Y
IDCJAC0001,086088,1922,06,46.4,Y
IDCJAC0001,086088,1922,07,98.4,Y
IDCJAC0001,086088,1922,08,72.8,Y
IDCJAC0001,086088,1922,09,72.1,Y
IDCJAC0001,086088,1922,10,102.8,Y
IDCJAC0001,086088,1922,11,28.7,Y
IDCJAC0001,086088,1922,12,56.8,Y
IDCJAC0001,086088,1923,01,29.6,Y
IDCJAC0001,086088,1923,02,10.9,Y
IDCJAC0001,086088,1923,03,12.9,Y
IDCJAC0001,086088,1923,04,0.0,Y
IDCJAC0001,086088,1923,05,73.5,Y
IDCJAC0001,086088,1923,06,61.2,Y
IDCJAC0001,086088,1923,07,64.9,Y
IDCJAC0001,086088,1923,08,57.2,Y
IDCJAC0001,086088,1923,09,64.4,Y
IDCJAC0001,086088,1923,10,148.1,Y
IDCJAC0001,086088,1923,11,66.5,Y
IDCJAC0001,086088,1923,12,76.9,Y
IDCJAC0001,086088,1924,01,106.2,Y
IDCJAC0001,086088,1924,02,76.1,Y
IDCJAC0001,086088,1924,03,113.0,Y
IDCJAC0001,086088,1924,04,94.8,Y
IDCJAC0001,086088,1924,05,26.2,Y
IDCJAC0001,086088,1924,06,37.9,Y
IDCJAC0001,086088,1924,07,23.2,Y
IDCJAC0001,086088,1924,08,120.0,Y
IDCJAC0001,086088,1924,09,59.1,Y
IDCJAC0001,086088,1924,10,100.7,Y
IDCJAC0001,086088,1924,11,99.4,Y
IDCJAC0001,086088,1924,12,89.7,Y
IDCJAC0001,086088,1925,01,83.9,Y
IDCJAC0001,086088,1925,02,57.4,Y
IDCJAC0001,086088,1925,03,18.1,Y
IDCJAC0001,086088,1925,04,49.6,Y
IDCJAC0001,086088,1925,05,35.1,Y
IDCJAC0001,086088,1925,06,25.7,Y
IDCJAC0001,086088,1925,07,82.0,Y
IDCJAC0001,086088,1925,08,37.2,Y
IDCJAC0001,086088,1925,09,50.2,Y
IDCJAC0001,086088,1925,10,38.7,Y
IDCJAC0001,086088,1925,11,53.1,Y
IDCJAC0001,086088,1925,12,10.2,Y
IDCJAC0001,086088,1926,01,73.1,Y
IDCJAC0001,086088,1926,02,3.3,Y
IDCJAC0001,086088,1926,03,31.9,Y
IDCJAC0001,086088,1926,04,49.6,Y
IDCJAC0001,086088,1926,05,62.0,Y
IDCJAC0001,086088,1926,06,72.4,Y
IDCJAC0001,086088,1926,07,40.4,Y
IDCJAC0001,086088,1926,08,53.6,Y
IDCJAC0001,086088,1926,09,25.2,Y
IDCJAC0001,086088,1926,10,44.2,Y
IDCJAC0001,086088,1926,11,22.8,Y
IDCJAC0001,086088,1926,12,27.7,Y
IDCJAC0001,086088,1927,01,9.8,Y
IDCJAC0001,086088,1927,02,23.9,Y
IDCJAC0001,086088,1927,03,40.6,Y
IDCJAC0001,086088,1927,04,20.0,Y
IDCJAC0001,086088,1927,05,62.7,Y
IDCJAC0001,086088,1927,06,35.9,Y
IDCJAC0001,086088,1927,07,72.7,Y
IDCJAC0001,086088,1927,08,58.6,Y
IDCJAC0001,086088,1927,09,34.0,Y
IDCJAC0001,086088,1927,10,71.6,Y
IDCJAC0001,086088,1927,11,21.3,Y
IDCJAC0001,086088,1927,12,27.6,Y
IDCJAC0001,086088,1928,01,82.6,Y
IDCJAC0001,086088,1928,02,89.1,Y
IDCJAC0001,086088,1928,03,112.2,Y
IDCJAC0001,086088,1928,04,22.2,Y
IDCJAC0001,086088,1928,05,72.6,Y
IDCJAC0001,086088,1928,06,54.6,Y
IDCJAC0001,086088,1928,07,13.9,Y
IDCJAC0001,086088,1928,08,18.3,Y
IDCJAC0001,086088,1928,09,25.1,Y
IDCJAC0001,086088,1928,10,67.8,Y
IDCJAC0001,086088,1928,11,38.4,Y
IDCJAC0001,086088,1928,12,22.1,Y
IDCJAC0001,086088,1929,01,42.3,Y
IDCJAC0001,086088,1929,02,57.9,Y
IDCJAC0001,086088,1929,03,65.8,Y
IDCJAC0001,086088,1929,04,108.4,Y
IDCJAC0001,086088,1929,05,53.8,Y
IDCJAC0001,086088,1929,06,35.2,Y
IDCJAC0001,086088,1929,07,60.2,Y
IDCJAC0001,086088,1929,08,48.2,Y
IDCJAC0001,086088,1929,09,49.8,Y
IDCJAC0001,086088,1929,10,69.8,Y
IDCJAC0001,086088,1929,11,80.0,Y
IDCJAC0001,086088,1929,12,81.2,Y
IDCJAC0001,086088,1930,01,3.3,Y
IDCJAC0001,086088,1930,02,57.4,Y
IDCJAC0001,086088,1930,03,5.7,Y
IDCJAC0001,086088,1930,04,46.0,Y
IDCJAC0001,086088,1930,05,83.6,Y
IDCJAC0001,086088,1930,06,49.8,Y
IDCJAC0001,086088,1930,07,43.1,Y
IDCJAC0001,086088,1930,08,85.0,Y
IDCJAC0001,086088,1930,09,39.0,Y
IDCJAC0001,086088,1930,10,56.1,Y
IDCJAC0001,086088,1930,11,67.5,Y
IDCJAC0001,086088,1930,12,115.5,Y
IDCJAC0001,086088,1931,01,26.8,Y
IDCJAC0001,086088,1931,02,25.7,Y
IDCJAC0001,086088,1931,03,156.4,Y
IDCJAC0001,086088,1931,04,67.3,Y
IDCJAC0001,086088,1931,05,67.1,Y
IDCJAC0001,086088,1931,06,92.2,Y
IDCJAC0001,086088,1931,07,67.2,Y
IDCJAC0001,086088,1931,08,52.7,Y
IDCJAC0001,086088,1931,09,50.5,Y
IDCJAC0001,086088,1931,10,25.1,Y
IDCJAC0001,086088,1931,11,115.3,Y
IDCJAC0001,086088,1931,12,14.7,Y
IDCJAC0001,086088,1932,01,0.0,Y
IDCJAC0001,086088,1932,02,71.6,Y
IDCJAC0001,086088,1932,03,106.7,Y
IDCJAC0001,086088,1932,04,107.3,Y
IDCJAC0001,086088,1932,05,8.5,Y
IDCJAC0001,086088,1932,06,65.5,Y
IDCJAC0001,086088,1932,07,41.7,Y
IDCJAC0001,086088,1932,08,78.6,Y
IDCJAC0001,086088,1932,09,14.5,Y
IDCJAC0001,086088,1932,10,108.1,Y
IDCJAC0001,086088,1932,11,28.9,Y
IDCJAC0001,086088,1932,12,117.1,Y
IDCJAC0001,086088,1933,01,42.2,Y
IDCJAC0001,086088,1933,02,5.1,Y
IDCJAC0001,086088,1933,03,50.3,Y
IDCJAC0001,086088,1933,04,22.0,Y
IDCJAC0001,086088,1933,05,45.0,Y
IDCJAC0001,086088,1933,06,44.7,Y
IDCJAC0001,086088,1933,07,78.7,Y
IDCJAC0001,086088,1933,08,60.8,Y
IDCJAC0001,086088,1933,09,46.5,Y
IDCJAC0001,086088,1933,10,32.0,Y
IDCJAC0001,086088,1933,11,36.6,Y
IDCJAC0001,086088,1933,12,79.4,Y
IDCJAC0001,086088,1934,01,88.9,Y
IDCJAC0001,086088,1934,02,21.6,Y
IDCJAC0001,086088,1934,03,2.1,Y
IDCJAC0001,086088,1934,04,140.4,Y
IDCJAC0001,086088,1934,05,3.1,Y
IDCJAC0001,086088,1934,06,49.1,Y
IDCJAC0001,086088,1934,07,33.7,Y
IDCJAC0001,086088,1934,08,44.1,Y
IDCJAC0001,086088,1934,09,47.3,Y
IDCJAC0001,086088,1934,10,140.1,Y
IDCJAC0001,086088,1934,11,119.3,Y
IDCJAC0001,086088,1934,12,67.1,Y
IDCJAC0001,086088,1935,01,69.8,Y
IDCJAC0001,086088,1935,02,22.4,Y
IDCJAC0001,086088,1935,03,46.4,Y
IDCJAC0001,086088,1935,04,154.6,Y
IDCJAC0001,086088,1935,05,32.7,Y
IDCJAC0001,086088,1935,06,59.7,Y
IDCJAC0001,086088,1935,07,57.7,Y
IDCJAC0001,086088,1935,08,47.2,Y
IDCJAC0001,086088,1935,09,67.0,Y
IDCJAC0001,086088,1935,10,47.3,Y
IDCJAC0001,086088,1935,11,32.5,Y
IDCJAC0001,086088,1935,12,7.7,Y
IDCJAC0001,086088,1936,01,55.1,Y
IDCJAC0001,086088,1936,02,15.5,Y
IDCJAC0001,086088,1936,03,14.9,Y
