lat,lon,temp-change
-44.922,110.171,0.376
-44.922,110.439,0.376
-44.922,110.707,0.375
-44.922,110.975,0.375
-44.922,111.243,0.374
-44.922,111.512,0.373
-44.922,111.78,0.372
-44.922,112.048,0.37
-44.922,112.316,0.369
-44.922,112.584,0.368
-44.922,112.852,0.367
-44.922,113.12,0.365
-44.922,113.388,0.365
-44.922,113.656,0.364
-44.922,113.924,0.363
-44.922,114.192,0.363
-44.922,114.46,0.362
-44.922,114.728,0.361
-44.922,114.996,0.361
-44.922,115.264,0.36
-44.922,115.532,0.359
-44.922,115.8,0.358
-44.922,116.069,0.357
-44.922,116.337,0.356
-44.922,116.605,0.355
-44.922,116.873,0.355
-44.922,117.141,0.353
-44.922,117.409,0.352
-44.922,117.677,0.351
-44.922,117.945,0.35
-44.922,118.213,0.349
-44.922,118.481,0.348
-44.922,118.749,0.347
-44.922,119.017,0.346
-44.922,119.285,0.345
-44.922,119.553,0.345
-44.922,119.821,0.344
-44.922,120.089,0.343
-44.922,120.357,0.342
-44.922,120.625,0.342
-44.922,120.894,0.341
-44.922,121.162,0.341
-44.922,121.43,0.341
-44.922,121.698,0.34
-44.922,121.966,0.34
-44.922,122.234,0.34
-44.922,122.502,0.339
-44.922,122.77,0.34
-44.922,123.038,0.341
-44.922,123.306,0.341
-44.922,123.574,0.342
-44.922,123.842,0.342
-44.922,124.11,0.343
-44.922,124.378,0.344
-44.922,124.646,0.344
-44.922,124.914,0.345
-44.922,125.182,0.345
-44.922,125.45,0.346
-44.922,125.719,0.347
-44.922,125.987,0.347
-44.922,126.255,0.348
-44.922,126.523,0.349
-44.922,126.791,0.35
-44.922,127.059,0.35
-44.922,127.327,0.351
-44.922,127.595,0.352
-44.922,127.863,0.353
-44.922,128.131,0.354
-44.922,128.399,0.354
-44.922,128.667,0.354
-44.922,128.935,0.354
-44.922,129.203,0.354
-44.922,129.471,0.354
-44.922,129.739,0.354
-44.922,130.007,0.355
-44.922,130.276,0.354
-44.922,130.544,0.354
-44.922,130.812,0.354
-44.922,131.08,0.354
-44.922,131.348,0.353
-44.922,131.616,0.353
-44.922,131.884,0.353
-44.922,132.152,0.352
-44.922,132.42,0.352
-44.922,132.688,0.351
-44.922,132.956,0.35
-44.922,133.224,0.35
-44.922,133.492,0.349
-44.922,133.76,0.349
-44.922,134.028,0.347
-44.922,134.296,0.345
-44.922,134.564,0.343
-44.922,134.832,0.341
-44.922,135.101,0.339
-44.922,135.369,0.338
-44.922,135.637,0.336
-44.922,135.905,0.332
-44.922,136.173,0.328
-44.922,136.441,0.324
-44.922,136.709,0.32
-44.922,136.977,0.316
-44.922,137.245,0.312
-44.922,137.513,0.308
-44.922,137.781,0.304
-44.922,138.049,0.3
-44.922,138.317,0.295
-44.922,138.585,0.291
-44.922,138.853,0.287
-44.922,139.121,0.282
-44.922,139.389,0.278
-44.922,139.657,0.276
-44.922,139.926,0.276
-44.922,140.194,0.275
-44.922,140.462,0.274
-44.922,140.73,0.274
-44.922,140.998,0.273
-44.922,141.266,0.272
-44.922,141.534,0.276
-44.922,141.802,0.282
-44.922,142.07,0.288
-44.922,142.338,0.294
-44.922,142.606,0.299
-44.922,142.874,0.305
-44.922,143.142,0.311
-44.922,143.41,0.319
-44.922,143.678,0.328
-44.922,143.946,0.337
-44.922,144.214,0.345
-44.922,144.483,0.354
-44.922,144.751,0.363
-44.922,145.019,0.372
-44.922,145.287,0.381
-44.922,145.555,0.389
-44.922,145.823,0.397
-44.922,146.091,0.406
-44.922,146.359,0.414
-44.922,146.627,0.422
-44.922,146.895,0.431
-44.922,147.163,0.44
-44.922,147.431,0.449
-44.922,147.699,0.458
-44.922,147.967,0.467
-44.922,148.235,0.477
-44.922,148.503,0.486
-44.922,148.771,0.495
-44.922,149.039,0.503
-44.922,149.308,0.509
-44.922,149.576,0.515
-44.922,149.844,0.521
-44.922,150.112,0.527
-44.922,150.38,0.533
-44.922,150.648,0.539
-44.922,150.916,0.541
-44.922,151.184,0.539
-44.922,151.452,0.537
-44.922,151.72,0.535
-44.922,151.988,0.533
-44.922,152.256,0.531
-44.922,152.524,0.529
-44.922,152.792,0.525
-44.922,153.06,0.519
-44.922,153.328,0.512
-44.922,153.596,0.506
-44.922,153.864,0.499
-44.922,154.133,0.493
-44.922,154.401,0.486
-44.922,154.669,0.481
-44.922,154.937,0.475
-44.922,155.205,0.47
-44.922,155.473,0.465
-44.922,155.741,0.46
-44.611,110.171,0.372
-44.611,110.439,0.371
-44.611,110.707,0.371
-44.611,110.975,0.37
-44.611,111.243,0.37
-44.611,111.512,0.368
-44.611,111.78,0.367
-44.611,112.048,0.366
-44.611,112.316,0.365
-44.611,112.584,0.364
-44.611,112.852,0.363
-44.611,113.12,0.362
-44.611,113.388,0.362
-44.611,113.656,0.361
-44.611,113.924,0.36
-44.611,114.192,0.36
-44.611,114.46,0.359
-44.611,114.728,0.359
-44.611,114.996,0.358
-44.611,115.264,0.357
-44.611,115.532,0.357
-44.611,115.8,0.356
-44.611,116.069,0.355
-44.611,116.337,0.354
-44.611,116.605,0.353
-44.611,116.873,0.353
-44.611,117.141,0.352
-44.611,117.409,0.351
-44.611,117.677,0.35
-44.611,117.945,0.349
-44.611,118.213,0.348
-44.611,118.481,0.347
-44.611,118.749,0.346
-44.611,119.017,0.346
-44.611,119.285,0.345
-44.611,119.553,0.345
-44.611,119.821,0.344
-44.611,120.089,0.344
-44.611,120.357,0.343
-44.611,120.625,0.342
-44.611,120.894,0.342
-44.611,121.162,0.342
-44.611,121.43,0.342
-44.611,121.698,0.342
-44.611,121.966,0.342
-44.611,122.234,0.342
-44.611,122.502,0.342
-44.611,122.77,0.343
-44.611,123.038,0.343
-44.611,123.306,0.344
-44.611,123.574,0.344
-44.611,123.842,0.345
-44.611,124.11,0.345
-44.611,124.378,0.346
-44.611,124.646,0.347
-44.611,124.914,0.347
-44.611,125.182,0.348
-44.611,125.45,0.349
-44.611,125.719,0.349
-44.611,125.987,0.35
-44.611,126.255,0.351
-44.611,126.523,0.351
-44.611,126.791,0.352
-44.611,127.059,0.353
-44.611,127.327,0.354
-44.611,127.595,0.355
-44.611,127.863,0.356
-44.611,128.131,0.357
-44.611,128.399,0.357
-44.611,128.667,0.357
-44.611,128.935,0.357
-44.611,129.203,0.358
-44.611,129.471,0.358
-44.611,129.739,0.358
-44.611,130.007,0.358
-44.611,130.276,0.358
-44.611,130.544,0.358
-44.611,130.812,0.358
-44.611,131.08,0.358
-44.611,131.348,0.358
-44.611,131.616,0.358
-44.611,131.884,0.358
-44.611,132.152,0.357
-44.611,132.42,0.357
-44.611,132.688,0.356
-44.611,132.956,0.356
-44.611,133.224,0.355
-44.611,133.492,0.355
-44.611,133.76,0.354
-44.611,134.028,0.352
-44.611,134.296,0.35
-44.611,134.564,0.348
-44.611,134.832,0.345
-44.611,135.101,0.343
-44.611,135.369,0.341
-44.611,135.637,0.338
-44.611,135.905,0.334
-44.611,136.173,0.329
-44.611,136.441,0.324
-44.611,136.709,0.319
-44.611,136.977,0.314
-44.611,137.245,0.309
-44.611,137.513,0.304
-44.611,137.781,0.299
-44.611,138.049,0.294
-44.611,138.317,0.289
-44.611,138.585,0.285
-44.611,138.853,0.28
-44.611,139.121,0.275
-44.611,139.389,0.27
-44.611,139.657,0.269
-44.611,139.926,0.268
-44.611,140.194,0.268
-44.611,140.462,0.268
-44.611,140.73,0.268
-44.611,140.998,0.267
-44.611,141.266,0.267
-44.611,141.534,0.271
-44.611,141.802,0.277
-44.611,142.07,0.282
-44.611,142.338,0.288
-44.611,142.606,0.294
-44.611,142.874,0.3
-44.611,143.142,0.306
-44.611,143.41,0.313
-44.611,143.678,0.321
-44.611,143.946,0.329
-44.611,144.214,0.338
-44.611,144.483,0.346
-44.611,144.751,0.354
-44.611,145.019,0.362
-44.611,145.287,0.37
-44.611,145.555,0.379
-44.611,145.823,0.387
-44.611,146.091,0.395
-44.611,146.359,0.404
-44.611,146.627,0.412
-44.611,146.895,0.42
-44.611,147.163,0.429
-44.611,147.431,0.439
-44.611,147.699,0.449
-44.611,147.967,0.459
-44.611,148.235,0.469
-44.611,148.503,0.479
-44.611,148.771,0.489
-44.611,149.039,0.498
-44.611,149.308,0.504
-44.611,149.576,0.511
-44.611,149.844,0.517
-44.611,150.112,0.524
-44.611,150.38,0.531
-44.611,150.648,0.537
-44.611,150.916,0.54
-44.611,151.184,0.539
-44.611,151.452,0.538
-44.611,151.72,0.536
-44.611,151.988,0.535
-44.611,152.256,0.534
-44.611,152.524,0.533
-44.611,152.792,0.529
-44.611,153.06,0.523
-44.611,153.328,0.516
-44.611,153.596,0.51
-44.611,153.864,0.503
-44.611,154.133,0.497
-44.611,154.401,0.49
-44.611,154.669,0.484
-44.611,154.937,0.479
-44.611,155.205,0.474
-44.611,155.473,0.468
-44.611,155.741,0.463
-44.301,110.171,0.367
-44.301,110.439,0.367
-44.301,110.707,0.366
-44.301,110.975,0.366
-44.301,111.243,0.365
-44.301,111.512,0.364
-44.301,111.78,0.363
-44.301,112.048,0.363
-44.301,112.316,0.362
-44.301,112.584,0.361
-44.301,112.852,0.36
-44.301,113.12,0.359
